ProblemNo,Connection,Cost
30,57258 : 16 -> 19 ; 07724 : 10 -> 11 ; 57258 : 22 -> 25 ; 57272 : 55 -> 56 ; 57258 : 26 -> 27 ; 57272 : 57 -> 58 ; 57258 : 28 -> 29 ; 57272 : 59 -> 60 ; 57258 : 30 -> 32 ; 17240 : 19 -> 20 ; 57272 : 64 -> 65 ; 57258 : 35 -> 36 ; 57272 : 66 -> 67 ; 57258 : 37 -> 40 ; 17202 : 20 -> 21 ; 56501 : 2 -> 3 ; 17202 : 22 -> 23 ; 56501 : 4 -> 5 ; 17202 : 24 -> 25 ; 07710 : 17 -> 18 ; 56501 : 12 -> 14 ; 57306 : 9 -> 10 ; 56501 : 15 -> 17 ; 17225 : 4 -> 5 ; 57306 : 15 -> 16 ; 56501 : 21 -> 22 ; 57306 : 17 -> 18 ; 56501 : 23 -> 24 ; 07710 : 21 -> 22 ; 57306 : 21 -> 22 ; 56501 : 27 -> 29 ; 57306 : 24 -> 25 ; 07710 : 23 -> 24 ; 17225 : 11 -> 13 ; 57306 : 33 -> 34 ; 56501 : 40 -> 42 ; 12976 : 37 -> 38 ; 07323 : 12 -> 13 ; 16217 : 11 -> 12 ; 17225 : 20 -> 21 ; 16592 : 23 -> 24 ; 16217 : 13 -> 14 ; 16536 : 10 -> 11 ; 11423 : 17 -> 18 ; 06541 : 5 -> 6 ; 06948 : 2 -> 3 ; 17415 : 23 -> 24 ; 06948 : 4 -> 5 ; 18047 : 40 -> 41 ; 17311 : 21 -> 22 ; 06948 : 7 -> 8 ; 12617 : 25 -> 26 ; 12741 : 3 -> 4 ; 22149 : 13 -> 14 ; 10104 : 9 -> 12,1303
31,12783 : 14 -> 15 ; 12650 : 5 -> 6 ; 17023 : 2 -> 4 ; 57305 : 6 -> 8 ; 17023 : 5 -> 6 ; 12797 : 2 -> 4 ; 12976 : 33 -> 34 ; 12194 : 13 -> 14 ; 12766 : 18 -> 19 ; 12194 : 15 -> 16 ; 12252 : 22 -> 23 ; 16531 : 35 -> 36 ; 57478 : 11 -> 12 ; 56504 : 58 -> 59 ; 12735 : 11 -> 12 ; 11301 : 30 -> 31 ; 12785 : 12 -> 13 ; 11301 : 32 -> 33 ; 18463 : 42 -> 43 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54701 : 31 -> 33 ; 19224 : 37 -> 38 ; 22982 : 9 -> 10 ; 08246 : 2 -> 4 ; 14709 : 3 -> 4 ; 12308 : 2 -> 3 ; 08244 : 5 -> 6 ; 14662 : 13 -> 14 ; 14660 : 17 -> 18 ; 09721 : 2 -> 3 ; 14311 : 29 -> 30,1023
32,59013 : 23 -> 24 ; 12655 : 11 -> 12 ; 01081 : 7 -> 8 ; 11061 : 10 -> 11 ; 17020 : 17 -> 18 ; 52974 : 16 -> 38 ; 08243 : 16 -> 17 ; 12962 : 5 -> 6 ; 59320 : 34 -> 35 ; 19020 : 58 -> 59 ; 59320 : 36 -> 37 ; 19653 : 1 -> 2 ; 59811 : 2 -> 3,528
33,12501 : 4 -> 5 ; 05817 : 1 -> 3 ; 12508 : 8 -> 9 ; 13142 : 5 -> 6 ; 15960 : 36 -> 37 ; 13142 : 7 -> 8 ; 12344 : 4 -> 5 ; 13142 : 9 -> 10 ; 13148 : 5 -> 6 ; 13142 : 11 -> 12 ; 12042 : 2 -> 3 ; 15720 : 15 -> 18 ; 15653 : 10 -> 11 ; 13163 : 23 -> 24 ; 15483 : 17 -> 18 ; 15646 : 15 -> 16 ; 15707 : 5 -> 6 ; 15483 : 23 -> 25 ; 18697 : 10 -> 11 ; 13245 : 21 -> 22 ; 13247 : 31 -> 32 ; 15049 : 11 -> 12 ; 15651 : 16 -> 17 ; 15279 : 7 -> 8 ; 12523 : 8 -> 9 ; 12521 : 5 -> 6 ; 11062 : 5 -> 6 ; 14007 : 10 -> 11 ; 19052 : 5 -> 6 ; 12537 : 12 -> 13 ; 11034 : 13 -> 14 ; 12561 : 14 -> 15 ; 12149 : 14 -> 15 ; 11108 : 16 -> 17 ; 15159 : 20 -> 21 ; 12428 : 9 -> 10 ; 11062 : 18 -> 20 ; 11094 : 10 -> 11 ; 51702 : 15 -> 17 ; 18234 : 31 -> 33 ; 11452 : 7 -> 8 ; 11272 : 23 -> 24 ; 18234 : 36 -> 37 ; 11272 : 25 -> 26 ; 10002 : 1 -> 6,1400
34,57563 : 5 -> 6 ; 57129 : 56 -> 59 ; 57564 : 25 -> 26 ; 12194 : 11 -> 12 ; 17023 : 2 -> 4 ; 57305 : 6 -> 8 ; 17023 : 5 -> 6 ; 12797 : 2 -> 4 ; 12976 : 33 -> 34 ; 12194 : 13 -> 14 ; 12766 : 18 -> 19 ; 12194 : 15 -> 16 ; 16734 : 28 -> 29 ; 17416 : 23 -> 24 ; 11027 : 41 -> 42 ; 17429 : 29 -> 30 ; 07324 : 13 -> 14 ; 17416 : 27 -> 29 ; 57273 : 54 -> 55,589
35,18242 : 13 -> 14 ; 11266 : 5 -> 6 ; 28242 : 7 -> 8 ; 18242 : 17 -> 20 ; 51754 : 11 -> 12 ; 18477 : 41 -> 42 ; 12853 : 12 -> 13 ; 11266 : 9 -> 10 ; 12853 : 14 -> 15 ; 15160 : 17 -> 18 ; 18477 : 47 -> 48 ; 08891 : 7 -> 8 ; 12186 : 6 -> 7 ; 22912 : 24 -> 25 ; 11271 : 32 -> 33 ; 18236 : 52 -> 54 ; 11271 : 34 -> 35 ; 11449 : 5 -> 6 ; 18477 : 53 -> 54 ; 12001 : 3 -> 4 ; 19665 : 6 -> 7 ; 12192 : 17 -> 18 ; 12001 : 5 -> 6 ; 12177 : 33 -> 34 ; 19665 : 12 -> 13 ; 59812 : 2 -> 4,854
36,12719 : 3 -> 4 ; 59812 : 50 -> 51 ; 19654 : 10 -> 11 ; 19328 : 7 -> 9 ; 19654 : 13 -> 14 ; 19328 : 10 -> 12 ; 59812 : 59 -> 60 ; 19654 : 17 -> 18 ; 19328 : 14 -> 15 ; 12996 : 8 -> 9 ; 19165 : 10 -> 11 ; 11463 : 25 -> 26 ; 12968 : 10 -> 11 ; 18233 : 9 -> 10,316
37,05116 : 17 -> 18 ; 05066 : 10 -> 13 ; 11124 : 35 -> 36 ; 13020 : 29 -> 31 ; 11124 : 37 -> 38 ; 13106 : 4 -> 5 ; 14006 : 31 -> 32 ; 13106 : 6 -> 7 ; 13020 : 35 -> 36 ; 11033 : 27 -> 28 ; 13106 : 9 -> 10 ; 15934 : 17 -> 18 ; 13106 : 11 -> 12 ; 15652 : 25 -> 26 ; 13106 : 13 -> 14 ; 15050 : 16 -> 17 ; 13420 : 7 -> 8 ; 18184 : 13 -> 14 ; 13132 : 72 -> 73 ; 03236 : 15 -> 16 ; 18604 : 7 -> 8 ; 13050 : 80 -> 81 ; 13132 : 79 -> 80 ; 12332 : 27 -> 28 ; 12362 : 16 -> 17 ; 13332 : 16 -> 17 ; 13020 : 53 -> 54 ; 12024 : 10 -> 11 ; 13022 : 32 -> 33 ; 12376 : 1 -> 2 ; 53050 : 33 -> 34 ; 12342 : 2 -> 3 ; 13403 : 11 -> 12 ; 13051 : 8 -> 9,626
38,14732 : 3 -> 5 ; 12138 : 3 -> 4 ; 19226 : 22 -> 23 ; 12138 : 6 -> 7 ; 15910 : 10 -> 11 ; 12048 : 2 -> 3 ; 04414 : 8 -> 9 ; 14036 : 13 -> 14 ; 04414 : 10 -> 11 ; 14520 : 14 -> 15 ; 12482 : 13 -> 14 ; 14036 : 16 -> 17 ; 12556 : 5 -> 6 ; 12482 : 15 -> 16 ; 14649 : 43 -> 44 ; 14309 : 24 -> 25 ; 15910 : 23 -> 24 ; 14008 : 3 -> 4 ; 14650 : 23 -> 24 ; 14008 : 5 -> 6 ; 12230 : 5 -> 6 ; 13152 : 34 -> 35 ; 54076 : 26 -> 27 ; 14316 : 14 -> 15 ; 54076 : 29 -> 31 ; 13152 : 36 -> 37 ; 13010 : 14 -> 15 ; 13050 : 25 -> 26 ; 13010 : 16 -> 17 ; 12492 : 10 -> 11 ; 54076 : 42 -> 44 ; 15274 : 16 -> 17 ; 12492 : 12 -> 13 ; 05066 : 4 -> 5 ; 15708 : 33 -> 34 ; 05116 : 14 -> 15 ; 05028 : 6 -> 7 ; 19039 : 67 -> 68 ; 15274 : 31 -> 32 ; 12558 : 5 -> 6 ; 19039 : 70 -> 71 ; 15274 : 35 -> 36 ; 19039 : 72 -> 73 ; 15654 : 20 -> 21 ; 15052 : 6 -> 7 ; 12212 : 9 -> 10,1276
39,12064 : 3 -> 4 ; 12326 : 3 -> 4 ; 14682 : 7 -> 8 ; 14502 : 5 -> 7 ; 14711 : 13 -> 14 ; 14502 : 8 -> 9 ; 12455 : 7 -> 8 ; 54703 : 5 -> 6 ; 54701 : 2 -> 4 ; 54703 : 8 -> 9 ; 54701 : 5 -> 7 ; 24887 : 19 -> 20 ; 54701 : 10 -> 11 ; 24887 : 21 -> 23 ; 54701 : 14 -> 15 ; 54703 : 16 -> 17 ; 22982 : 4 -> 5 ; 19108 : 12 -> 13 ; 54701 : 20 -> 23 ; 22982 : 6 -> 7 ; 24887 : 27 -> 28 ; 54703 : 28 -> 29 ; 54701 : 30 -> 32 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 16210 : 4 -> 5 ; 11006 : 13 -> 15 ; 11022 : 16 -> 17 ; 06228 : 10 -> 11 ; 16515 : 5 -> 10 ; 16336 : 26 -> 27 ; 22636 : 3 -> 4 ; 11098 : 14 -> 15 ; 12134 : 5 -> 6,1207
40,18401 : 17 -> 31 ; 59440 : 36 -> 38,12
41,59440 : 31 -> 36 ; 19578 : 7 -> 25,15
42,59440 : 41 -> 64,10
43,59440 : 23 -> 25 ; 12010 : 5 -> 6 ; 18401 : 31 -> 37,9
44,19578 : 3 -> 4 ; 19107 : 1 -> 18,11
45,18401 : 13 -> 33 ; 19107 : 1 -> 13,20
46,59442 : 21 -> 24 ; 59440 : 20 -> 25 ; 12010 : 5 -> 6 ; 18401 : 31 -> 33 ; 12010 : 1 -> 3 ; 59440 : 13 -> 15,15
47,59442 : 49 -> 75 ; 12267 : 1 -> 2 ; 19107 : 1 -> 19,21
48,59440 : 63 -> 64 ; 59442 : 70 -> 71 ; 59440 : 66 -> 67 ; 19578 : 9 -> 23,13
49,12010 : 8 -> 9 ; 12267 : 1 -> 2 ; 19578 : 4 -> 6,4
50,12664 : 8 -> 9 ; 11018 : 12 -> 13 ; 12651 : 11 -> 12 ; 02882 : 4 -> 5 ; 12649 : 5 -> 6 ; 22679 : 4 -> 5 ; 02590 : 7 -> 8 ; 12329 : 8 -> 9 ; 14001 : 1 -> 2 ; 11058 : 1 -> 2,10
51,12556 : 6 -> 7 ; 22680 : 2 -> 4 ; 12160 : 15 -> 16 ; 12655 : 21 -> 22,5
52,15483 : 21 -> 22 ; 13163 : 28 -> 29 ; 15483 : 23 -> 24 ; 15621 : 11 -> 12 ; 12423 : 15 -> 16 ; 12349 : 9 -> 10 ; 12329 : 7 -> 8 ; 22805 : 18 -> 19 ; 12421 : 14 -> 16 ; 12047 : 4 -> 6 ; 19108 : 9 -> 11 ; 22982 : 4 -> 5 ; 12455 : 18 -> 19,16
53,57264 : 6 -> 7 ; 17255 : 4 -> 5 ; 12776 : 8 -> 10 ; 12254 : 21 -> 22 ; 02853 : 5 -> 7 ; 12511 : 44 -> 45 ; 13351 : 89 -> 90 ; 12217 : 7 -> 8 ; 16306 : 5 -> 6 ; 16348 : 18 -> 19,12
54,12951 : 7 -> 8 ; 22680 : 2 -> 3 ; 12286 : 2 -> 3 ; 22680 : 5 -> 6 ; 16230 : 26 -> 27 ; 18111 : 35 -> 36 ; 07301 : 8 -> 10 ; 16206 : 8 -> 9 ; 16227 : 12 -> 13,10
55,53049 : 9 -> 12 ; 12273 : 2 -> 3 ; 18632 : 11 -> 12 ; 11081 : 15 -> 16 ; 15003 : 17 -> 18,7
56,12694 : 4 -> 5 ; 22630 : 2 -> 3 ; 06064 : 5 -> 6 ; 11022 : 6 -> 7 ; 22206 : 2 -> 4 ; 12269 : 1 -> 2 ; 12213 : 12 -> 13 ; 11704 : 9 -> 10 ; 12550 : 9 -> 10 ; 18010 : 12 -> 13 ; 14369 : 1 -> 2,12
57,51702 : 14 -> 15 ; 11082 : 12 -> 13 ; 12142 : 7 -> 8 ; 12261 : 2 -> 3 ; 12652 : 4 -> 5 ; 07707 : 15 -> 16 ; 17201 : 9 -> 10,7
58,18233 : 67 -> 68 ; 12854 : 25 -> 26 ; 12222 : 3 -> 4 ; 12285 : 3 -> 4 ; 12630 : 3 -> 4 ; 22695 : 4 -> 5 ; 12908 : 3 -> 4,7
59,12809 : 35 -> 36 ; 12152 : 12 -> 13 ; 12222 : 3 -> 4 ; 12285 : 3 -> 4 ; 12630 : 3 -> 4 ; 22695 : 4 -> 6 ; 15014 : 26 -> 27 ; 52075 : 1 -> 3,10
60,18401 : 2 -> 32 ; 59440 : 19 -> 21 ; 59442 : 26 -> 27,03:17:33:00
61,18401 : 8 -> 31 ; 59440 : 36 -> 41,02:08:04:00
62,12547 : 1 -> 11 ; 12010 : 1 -> 7 ; 59442 : 59 -> 72 ; 19578 : 9 -> 17,03:08:35:00
63,19107 : 4 -> 9,02:03:23:00
64,19578 : 1 -> 15,02:06:25:00
65,18401 : 19 -> 31 ; 59440 : 36 -> 51,02:09:41:00
66,19107 : 7 -> 8,01:02:55:00
67,18401 : 34 -> 35 ; 19578 : 3 -> 4 ; 59442 : 1 -> 9,02:13:49:00
68,59442 : 45 -> 49 ; 59440 : 41 -> 50,01:09:31:00
69,59440 : 29 -> 36 ; 19578 : 7 -> 9 ; 59440 : 67 -> 68 ; 12010 : 8 -> 9,21:35:00
70,54602 : 36 -> 38 ; 12372 : 10 -> 15 ; 19407 : 14 -> 15 ; 12524 : 4 -> 5 ; 19601 : 17 -> 19 ; 12524 : 7 -> 10 ; 19601 : 22 -> 23,02:09:26:00
71,50106 : 11 -> 41 ; 10104 : 18 -> 20 ; 17411 : 3 -> 7 ; 12219 : 2 -> 5,02:08:30:00
72,17480 : 11 -> 12 ; 12612 : 9 -> 10 ; 12254 : 25 -> 28 ; 12688 : 27 -> 29 ; 12660 : 31 -> 38 ; 16301 : 16 -> 17,01:18:51:00
73,22187 : 6 -> 10 ; 17610 : 10 -> 12 ; 19051 : 10 -> 11 ; 15484 : 22 -> 23 ; 22406 : 6 -> 7 ; 12250 : 6 -> 9,01:12:40:00
74,12707 : 16 -> 17 ; 12651 : 14 -> 15 ; 08243 : 12 -> 17 ; 19422 : 23 -> 26 ; 12490 : 4 -> 16,02:06:20:00
75,16351 : 23 -> 25 ; 12246 : 3 -> 6 ; 53047 : 1 -> 23 ; 02509 : 12 -> 13 ; 13163 : 14 -> 15 ; 13063 : 8 -> 9,02:16:36:00
76,16333 : 4 -> 13 ; 22653 : 23 -> 27 ; 12416 : 3 -> 4 ; 18632 : 5 -> 11 ; 18201 : 15 -> 17 ; 12328 : 9 -> 18 ; 13426 : 21 -> 22 ; 15905 : 44 -> 45 ; 13150 : 17 -> 18,03:04:25:00
77,12038 : 1 -> 2 ; 14713 : 8 -> 9 ; 54601 : 15 -> 17,01:04:50:00
78,59812 : 22 -> 30 ; 14709 : 11 -> 21 ; 12860 : 8 -> 9 ; 22828 : 7 -> 8 ; 12993 : 17 -> 18 ; 19453 : 24 -> 28 ; 57271 : 62 -> 66,02:12:46:00
79,18495 : 8 -> 9 ; 16354 : 9 -> 10 ; 12083 : 5 -> 6 ; 12697 : 5 -> 7 ; 12685 : 8 -> 15 ; 22653 : 9 -> 10 ; 22114 : 15 -> 19 ; 12620 : 16 -> 20 ; 50105 : 7 -> 11,02:07:41:00
